Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine,Code de la discipline,Discipline,Sigle,Spécialité,Nombre de réponses,Taux d'insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des emplois situés en dehors de la région (y compris à l'étranger),Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Code du secteur disciplinaire SISE,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,cle_DISC,Prof. libérale. indépendant. chef d’entreprise,Fonctionnaire,statut_cdi,statut_conspe,CDD,Vacataire,Intérimaire,Intermittent du spectacle,Contrat de professionnalisa tion,Emplois aidés (Contrat Initiative Emploi…),Volontariat international,Vous-même,La fonction publique (d'etat. territoriale ou hospitalière),Une entreprise privée,Une entreprise publique,Une association,Une personne exerçant une profession libérale ou un indépendant,Un particulier,Agriculture. sylviculture et pêche,Industries (manufacturières.  extractives et autres),Construction,Commerce. transports. héberg-ement et restauration,Information et communication,Activités financières et d’assurance,Activités spécialisées. scientifiques et techniques,Activités de services administratifs et de soutien,Enseignement,Administra tion publique (hors ens.),Santé humaine et action sociale,Arts. spectacles et activités récréatives,Autres activités de service,Personnel de catégorie A de la fonction publique,Ingénieur. cadre. prof. libérales. prof. intellectuelles sup,Personnel de catégorie B de la fonction publique,Emploi de niveau intermédiaire : technicien. agent de maîtrise…,Personnel de catégorie C de la fonction publique,Manœuvre. ouvrier,Employé de bureau. de commerce. personnel de service
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales>Information communication>Sciences de l'information et la communication,SHS,Sciences humaines et sociales,disc10,Information communication,disc10,Sciences de l'information et la communication,220,86,47,15,65,85,1360,21200,1200,1580,32,42,63,9.9,1870,SD35,1490,2280,disc10_30,8,10,46,,22,1,2,2,3,5,0,7,28,3,56,5,0,1,2,5,3,17,24,1,3,3,6,13,2,6,15,2,13,11,21,13,5,35
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,346,85,48,13,57,79,1360,21200,1200,1540,34,44,67,9.9,1870,,1490,2280,disc07_30,6,7,43,,31,1,2,1,2,6,0,5,33,3,42,17,0,1,2,4,2,13,16,1,2,3,6,15,12,7,17,3,11,12,22,13,3,36
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,346,80,44,10,50,71,1300,20300,1190,1500,34,44,67,9.9,1870,,1490,2280,disc07_18,7,6,41,,36,1,2,0,0,6,0,,,,,,,,,,,,,,,,,,,,,2,9,13,24,12,5,35
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences de l'ingénieur,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,disc15,Sciences de l'ingénieur,456,84,76,6,67,97,1520,23700,1350,1800,27,29,12,9.9,1870,,1490,2280,disc15_18,2,3,64,,17,0,12,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2,6,3,66,2,12,10
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie civil,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GC,Génie civil,83,87,71,10,70,99,1560,24300,1370,1800,37,21,14,9.9,1870,,1490,2280,GC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Ensemble sciences. technologies et santé>Ensemble sciences. technologies et santé,STS,Sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,686,84,77,9,68,97,1510,23500,1310,1760,29,30,,9.9,1870,,1490,2280,disc12_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,230,79,41,9,45,66,1300,20300,1170,1420,32,46,,9.9,1870,,1490,2280,disc07_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de la vie et de la terre>Génie biologique,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,GB,Génie biologique,130,94,85,6,57,90,1410,22000,1360,1600,26,40,,9.9,1870,,1490,2280,GB_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,154,90,81,21,85,98,1600,25000,1400,1850,23,37,4,9.9,1870,,1490,2280,_30,1,6,78,,8,0,3,0,3,1,0,2,7,5,83,2,0,1,0,13,1,9,58,4,2,1,1,4,2,1,4,1,21,4,56,3,1,15
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Droit>Carrières juridiques,DEG,Droit. économie et gestion,disc02,Droit,,Carrières juridiques,21,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
