code_zone_geo,Zone géographique,Année,code_indicateur,Indicateur,code_type_pers,Type de personnel,code_branche,Branche d'activité (NAF rév.2. 2008),Secret,Non disponible,État des données,Valeur
07,Régions d'outre-mer,2002,pers,Effectifs de R&D,2,Soutien à la recherche,27,Édition. audiovisuel et diffusion,oui,non,définitif,
07,Régions d'outre-mer,2003,dird,Dépense intérieure de R&D,,,0,Toutes branches d'activité,non,non,définitif,1.64
07,Régions d'outre-mer,2003,dird,Dépense intérieure de R&D,,,9,Fabrication de produits en caoutchouc et en plastique,oui,non,définitif,
07,Régions d'outre-mer,2003,pers,Effectifs de R&D,1,Chercheurs,7,Industrie chimique,oui,non,définitif,
07,Régions d'outre-mer,2003,pers,Effectifs de R&D,2,Soutien à la recherche,7,Industrie chimique,oui,non,définitif,
07,Régions d'outre-mer,2004,dird,Dépense intérieure de R&D,,,0,Toutes branches d'activité,non,non,définitif,5.56
07,Régions d'outre-mer,2005,pers,Effectifs de R&D,0,Tous types de personnel,0,Toutes branches d'activité,non,non,définitif,86.55
07,Régions d'outre-mer,2005,pers,Effectifs de R&D,0,Tous types de personnel,9,Fabrication de produits en caoutchouc et en plastique,oui,non,définitif,
07,Régions d'outre-mer,2005,pers,Effectifs de R&D,2,Soutien à la recherche,20,Construction navale. ferroviaire et militaire,oui,non,définitif,
07,Régions d'outre-mer,2006,pers,Effectifs de R&D,0,Tous types de personnel,19,Industrie automobile,oui,non,définitif,
07,Régions d'outre-mer,2006,pers,Effectifs de R&D,2,Soutien à la recherche,1,Agriculture. sylviculture et pêche,oui,non,définitif,
07,Régions d'outre-mer,2006,pers,Effectifs de R&D,2,Soutien à la recherche,25,Construction,oui,non,définitif,
07,Régions d'outre-mer,2006,pers,Effectifs de R&D,2,Soutien à la recherche,29,Activités informatiques et services d'information,oui,non,définitif,
07,Régions d'outre-mer,2007,dird,Dépense intérieure de R&D,,,3,Fabrication de denrées alimentaires. boissons et produits à base de tabac,non,non,définitif,2.88
07,Régions d'outre-mer,2007,dird,Dépense intérieure de R&D,,,28,Télécommunications,oui,non,définitif,
