Région,Territoire,Nombre de sièges CCIT actuels,Nombre de femmes CCIT  actuelles,Taux de féminisation,Adresse,Coordonnées,Genre Président,Genre Directeur général
Picardie,Aisne,48,8,17 %,83 Boulevard Jean Bouin BP 630 02322 SAINT-QUENTIN CEDEX,49.851042. 3.308862,H,F
Auvergne,Moulins,24,2,8 %,17 cours Jean Jaurès BP 1729 03017 MOULINS,46.565695. 3.335331,H,H
Auvergne,Montluçon,24,8,33 %,15 boulevard Carnot BP 3248 03106 MONTLUCON,46.342273. 2.602748,H,H
Provence Alpes Côte d’Azur,Alpes Haute-Provence,28,5,18 %,60 boulevard Gassendi 04000 DIGNE LES BAINS CEDEX,44.093791. 6.238004,F,H
Provence Alpes Côte d’Azur,Hautes-Alpes,23,5,22 %,16 rue Carnot BP 6 05001 GAP,44.558638. 6.080461,H,H
Provence Alpes Côte d’Azur,Nice,59,11,19 %,20 Boulevard Carabacel CS 11259 06005 NICE CEDEX 1,43.703638. 7.275481,H,H
Rhône Alpes,Ardèche,40,5,13 %,24 Chemin La Temple BP 215 07205 AUBENAS,44.637745. 4.379759,H,H
Champagne Ardenne,Ardennes,30,3,10 %,18A avenue Georges Corneau BP 389 08106 CHARLEVILLE MEZIERES CEDEX,49.768265. 4.723217,H,H
Midi Pyrenées,Ariège,28,6,21 %,21 cours Gabriel Fauré BP 30011 09001 FOIX,42.964116. 1.60855,H,H
Champagne Ardenne,Troyes,50,1,2 %,1 boulevard Charles Baltet BP 706 10001 TROYES CEDEX,48.291291. 4.071026,H,H
Rhône Alpes,Drôme,32,3,9 %,52-74 rue Barthélemy de Laffemas BP 1023 26010 VALENCE,44.917059. 4.915496,H,H
Languedoc Roussillon,Carcassonne,36,7,19 %,3 Boulevard Camille Pelletan CS 30011 11890 CARCASSONNE CEDEX,43.211356. 2.355267,H,H
Languedoc Roussillon,Narbonne,32,9,28 %,1 avenue du Forum Croix Sud CS 47101 11785 NARBONNE CEDEX,43.157271. 2.985524,H,H
Midi Pyrenées,Aveyron,40,7,18 %,17 rue Aristide Briand BP 3349 12033 RODEZ,44.350387. 2.577163,H,H
Provence Alpes Côte d’Azur,Pays d'Arles,34,5,15 %,Avenue 1è Division de la France Libre BP 10039 13633 ARLES,43.671492. 4.618291,H,H
Basse Normandie,Caen,36,3,8 %,1 rue René Cassin Saint-Contest 14911 CAEN,49.203345. -0.392508,H,H
Basse Normandie,Pays d'Auge,28,6,21 %,33 cours des Fossés BP 40010 14601 HONFLEUR,49.418687. 0.235564,H,H
Auvergne,Cantal,36,11,31 %,44 Boulevard du Pont Rouge 15013 AURILLAC,44.926929. 2.448043,H,H
Poitou Charentes,Angoulême,30,3,10 %,27 place Bouillaud CS 12124 16021 ANGOULEME,45.648415. 0.155248,H,H
Poitou Charentes,Cognac,24,8,33 %,23 rue du Port CS 70077 16103 COGNAC CEDEX,45.693414. -0.331149,H,H
Poitou Charentes,La Rochelle,34,3,9 %,21 Chemin du Prieuré 17024 LA ROCHELLE,46.172537. -1.148937,H,H
Bourgogne,Côte-d'Or,50,5,10 %,2 avenue de Marbotte BP 17440 21 074 DIJON,47.329936. 5.05188,H,F
Poitou Charentes,Rochefort-sur-Mer,30,3,10 %,La Corderie Royale 20 129 17306 ROCHEFORT-SUR-MER,45.938922. -0.956218,H,H
Centre,Cher,28,4,14 %,Esplanade de l'aéroport BP 54 18000 BOURGES CEDEX,47.055416. 2.3663,H,H
Limousin,Corrèze,38,6,16 %,Immeuble Consulaire Le Puy Pinçon - Tulle Est BP 30 19001 TULLE,45.275452. 1.790772,H,H
Corse,Ajaccio,32,6,19 %,quai L'Herminier BP 253 20180 AJACCIO,41.921325. 8.739482,F,H
Corse,Bastia,32,6,19 %,Nouveau Port BP 210 20293 BASTIA,42.695675. 9.449738,H,H
Bretagne,Côtes d'Armor,50,11,22 %,16 rue de Guernesey CS 10514 22005 SAINT-BRIEUC CEDEX 1,48.514945. -2.799158,H,H
Limousin,Creuse,24,7,29 %,Avenue de la République 23000 GUERET CEDEX,46.170513. 1.871863,H,H
Aquitaine,Dordogne,45,8,18 %,rue Pôle Interconsulaire Cré@vallée Nord 24060 PERIGUEUX CEDEX 9,45.1872. 0.6922,H,H
Franche Comté,Doubs,32,2,6 %,46 avenue Villarceau 25042 BESANCON,47.238169. 6.013219,F,H
